anime,nb_votes,nb_seen,straight_average,weighted_average,bayesian_average,anime_id,title,anime_japanese,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,related,producer,licensor,studio,genre,opening_theme,ending_theme
Silent Voice,559,764,8.856900215148926,8.888799667358398,8.859671592712402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disappearance of Haruhi Suzumiya,2792,4029,8.868599891662598,8.861599922180176,8.85578441619873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend of the Galactic Heroes (OAV),726,1141,8.785099983215332,8.834799766540527,8.813140869140625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushi-Shi,4995,8163,8.803199768066406,8.79259967803955,8.789508819580078,457.0,Mushishi,蟲師,,https://myanimelist.cdn-dena.com/images/anime/2/73862.jpg,TV,Manga,26.0,Finished Airing,False,"Oct 23, 2005 to Jun 19, 2006","{'from': '2005-10-23', 'to': '2006-06-19'}",25 min. per ep.,PG-13 - Teens 13 or older,8.74,147314.0,38.0,115.0,408122.0,17988.0,"Mushishi is an adaptation of Yuki Urushibara&#039;s award-winning manga of the same name. The series adapts the first 26 chapters of the manga, adapting one per episode. The anime aired these stories in a different order than that of the manga.The series won the Tokyo Anime Award in the Television category in 2006. The series premiered on October 23, 2005, but went on hiatus on March 12, 2006 after having aired 20 episodes. Broadcast resumed on May 15, and aired the remaining 6 episodes, concluding on June 19, 2006.",Fall 2005,Sundays at 03:40 (JST),"{'Adaptation': [{'mal_id': 418, 'type': 'manga', 'url': 'https://myanimelist.net/manga/418/Mushishi', 'title': 'Mushishi'}], 'Sequel': [{'mal_id': 21329, 'type': 'anime', 'url': 'https://myanimelist.net/anime/21329/Mushishi_Special__Hihamukage', 'title': 'Mushishi Special: Hihamukage'}, {'mal_id': 21939, 'type': 'anime', 'url': 'https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou', 'title': 'Mushishi Zoku Shou'}]}","Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",Funimation,Artland,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","['""The Sore Feet Song"" by Ally Kerr']","['#01: ""Midori no Za"" (緑の座) by Masuda Toshio (ep 1)', '#02: ""Mabuta no Hikari"" (瞼の光) by Masuda Toshio (ep 2)', '#03: ""Yawarakai Kaku"" (柔らかい角) by Masuda Toshio (ep 3)', '#04: ""Makura Kouji"" (枕小路 ) by Masuda Toshio (ep 4)', '#05: ""Tabi wo Suru Numa"" (旅をする沼) by Masuda Toshio (ep 5)', '#06: ""Tsuyu wo Suu Mure"" (露を吸う群れ) by Masuda Toshio (ep 6)', '#07: ""Ame ga Kuru Niji ga Tatsu"" (雨がくる虹がたつ) by Masuda Toshio (ep 7)', '#08: ""Unasaka Yori"" (海境より)  by Masuda Toshio (ep 8)', '#09: ""Omoi Mi"" (重い実) by Masuda Toshio (ep 9)', '#10: ""Suzuri ni Sumu Shiro"" (硯に棲む白) by Masuda Toshio (ep 10)', '#11: ""Yama Nemuru"" (やまねむる) by Masuda Toshio (ep 11)', '#12: ""Sugame no Sakana"" (眇の魚) by Masuda Toshio (ep 12)', '#13: ""Hitoyobashi"" (一夜橋) by Masuda Toshio (ep 13)', '#14: ""Kago no Naka"" (籠のなか) by Masuda Toshio (ep 14)', '#15: ""Haru to Usobuko"" (春と嘯く) by Masuda Toshio (ep 15)', '#16: ""Akatsuki no Hebi"" (暁の蛇) by Masuda Toshio (ep 16)', '#17: ""Uromayutori"" (虚繭取り) by Masuda Toshio (ep 17)', '#18: ""Yama Daku Koromo"" (山抱く衣) by Masuda Toshio (ep 18)', '#19: ""Tenpen no Ito"" (天辺の糸) by Masuda Toshio (ep 19)', '#20: ""Fude no Umi"" (筆の海) by Masuda Toshio (ep 20)', '#21: ""Wataboshi"" (綿胞子) by Masuda Toshio (ep 21)', '#22: ""Okitsu Miya"" (沖つ宮) by Masuda Toshio (ep 22)', '#23: ""Sabi no Naku Koe"" (錆の鳴く聲) by Masuda Toshio (ep 23)', '#24: ""Kagarinokou"" (篝野行) by Masuda Toshio (ep 24)', '#25: ""Ganpuku Ganka"" (眼福眼禍) by Masuda Toshio (ep 25)', '#26: ""Kusa wo Fumu Oto"" (草を踏む音) by Masuda Toshio (ep 26)']"
Death Note,12911,22216,8.863300323486328,8.781499862670898,8.780312538146973,1535.0,Death Note,デスノート,DN,https://myanimelist.cdn-dena.com/images/anime/9/9453.jpg,TV,Manga,37.0,Finished Airing,False,"Oct 4, 2006 to Jun 27, 2007","{'from': '2006-10-04', 'to': '2007-06-27'}",23 min. per ep.,R - 17+ (violence & profanity),8.67,1009477.0,51.0,1.0,1456378.0,88696.0,"Death Note has been adapted into live action films, TV dramas, video games, light novels and a musical composed by a Broadway composer.  It is licensed in North America by Viz Media.",Fall 2006,Wednesdays at 00:56 (JST),"{'Adaptation': [{'mal_id': 21, 'type': 'manga', 'url': 'https://myanimelist.net/manga/21/Death_Note', 'title': 'Death Note'}], 'Summary': [{'mal_id': 2994, 'type': 'anime', 'url': 'https://myanimelist.net/anime/2994/Death_Note__Rewrite', 'title': 'Death Note: Rewrite'}]}","VAP, Konami, Ashi Production, Nippon Television Network, Shueisha",Viz Media,Madhouse,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen","['#1: ""the WORLD"" by Nightmare (eps 1-19)', '#2: ""What&#039;s up, people?!"" by Maximum the Hormone (eps 20-37)']","['#1: ""Alumina"" by Nightmare (eps 1-19)', '#2: ""Zetsubō Billy"" by Maximum the Hormone (eps 20-36)', '#3: ""Coda ~ Death Note"" by Yoshihisa Hirano (ep 37)']"
Made in Abyss,644,883,8.807499885559082,8.79539966583252,8.771754264831543,34599.0,Made in Abyss,メイドインアビス,,https://myanimelist.cdn-dena.com/images/anime/1922/91900.jpg,TV,Web manga,13.0,Finished Airing,False,"Jul 7, 2017 to Sep 29, 2017","{'from': '2017-07-07', 'to': '2017-09-29'}",25 min. per ep.,R - 17+ (violence & profanity),8.91,166905.0,20.0,178.0,326011.0,11817.0,,Summer 2017,Fridays at 21:30 (JST),"{'Adaptation': [{'mal_id': 91941, 'type': 'manga', 'url': 'https://myanimelist.net/manga/91941/Made_in_Abyss', 'title': 'Made in Abyss'}], 'Sequel': [{'mal_id': 36862, 'type': 'anime', 'url': 'https://myanimelist.net/anime/36862/Made_in_Abyss_2nd_Season', 'title': 'Made in Abyss 2nd Season'}], 'Summary': [{'mal_id': 37514, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37514/Made_in_Abyss_Movie_1__Tabidachi_no_Yoake', 'title': 'Made in Abyss Movie 1: Tabidachi no Yoake'}, {'mal_id': 37515, 'type': 'anime', 'url': 'https://myanimelist.net/anime/37515/Made_in_Abyss_Movie_2__Hourou_suru_Tasogare', 'title': 'Made in Abyss Movie 2: Hourou suru Tasogare'}]}","Media Factory, AT-X, Takeshobo, Sony Music Communications, Kadokawa Media House, Cygames, Kanetsu Co., LTD.",Sentai Filmworks,Kinema Citrus,"Sci-Fi, Adventure, Mystery, Drama, Fantasy","['""Deep in Abyss"" by Riko (Miyu Tomita) and Regu (Mariya Ise)']","['#1: ""Tabi no Hidarite, Saihate no Migite (旅の左手、最果ての右手)"" by Riko (Miyu Tomita) and Regu (Mariya Ise) (eps 2-9)', '#2: ""Tabi no Hidarite, Saihate no Migite (旅の左手、最果ての右手)"" by Riko (Miyu Tomita), Regu (Mariya Ise), and Nanachi (Shiori Izawa) (eps 10-12)']"
Maria Watches Over Us 3rd Season (OAV),726,1044,8.7947998046875,8.790200233459473,8.769267082214355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Watches Over Us Season 2: Printemps,1343,1820,8.829500198364258,8.760100364685059,8.7489652633667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Descending Stories: Showa Genroku Rakugo Shinju,182,260,8.818699836730957,8.812000274658203,8.731019020080566,33095.0,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,昭和元禄落語心中～助六再び篇～,"Shouwa Genroku Rakugo Shinjuu 2nd Season, Showa and Genroku Era Lover&#039;s Suicide Through Rakugo 2nd Season",https://myanimelist.cdn-dena.com/images/anime/10/82947.jpg,TV,Manga,12.0,Finished Airing,False,"Jan 7, 2017 to Mar 25, 2017","{'from': '2017-01-07', 'to': '2017-03-25'}",24 min. per ep.,PG-13 - Teens 13 or older,8.87,27311.0,24.0,1107.0,74830.0,1395.0,,Winter 2017,Saturdays at 02:25 (JST),"{'Adaptation': [{'mal_id': 26704, 'type': 'manga', 'url': 'https://myanimelist.net/manga/26704/Shouwa_Genroku_Rakugo_Shinjuu', 'title': 'Shouwa Genroku Rakugo Shinjuu'}], 'Prequel': [{'mal_id': 28735, 'type': 'anime', 'url': 'https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu', 'title': 'Shouwa Genroku Rakugo Shinjuu'}]}","Mainichi Broadcasting System, Kodansha, DAX Production, King Records",,Studio Deen,"Drama, Historical, Josei","['""Imawa no Shinigami (今際の死神)"" by Megumi Hayashibara (eps 2, 4-10)']","['#1: ""Hikobayuru (ひこばゆる)"" by Kana Shibue (eps 4-10)', '#2: ""Kawa, Taredoki (かは、たれどき)"" by Kana Shibue (ep 12)']"
Gintama (TV 4/2015),151,291,8.768199920654297,8.811699867248535,8.715338706970215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
